x,Q
4.690193017,19.79075277
5.244956772,15.99987678
5.81167691,13.11763568
6.628242075,11.30246685
7.167889989,9.332449263
8.011527378,8.778013136
8.758832255,7.76305628
9.702209414,7.036251235
10.48017962,6.409758696
11.39289145,6.00801078
12.20152699,5.668886972
13.08357349,5.294710213
13.92287436,4.940870299
15.64422173,4.287498395
17.3655691,3.709662458
19.08691647,3.39806453
20.80826384,2.987772701
22.52961121,2.681353878
24.25095858,2.427565697
25.97230595,2.178600365
27.69365332,1.972397436
29.41500069,1.785711463
31.13634806,1.689194
32.85769543,1.524847089
34.5790428,1.372470338
36.30039017,1.229913309
38.02173754,1.113502915
39.74308491,1.002231459
41.46443228,0.904721259
43.18577965,0.848345503
44.90712702,0.779363534
46.62847439,0.70250885
48.34982176,0.636947597
50.07116913,0.572460242
51.7925165,0.541518843
53.51386387,0.49241987
55.23521124,0.443861307
56.95655861,0.400091207
58.67790598,0.377361125
60.41490196,0.360338665
62.12060072,0.329862469
63.84194808,0.282086927
65.56329545,0.253156767
67.28464282,0.220001227
69.00599019,0.205689905
70.72733756,0.184864961
72.44868493,0.175898863
74.1700323,0.179799602
75.9891835,0.207654228
77.55254007,0.261874555
78.55164379,0.354494035
