"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.3549e+19,1,0.003108,0.003108,0.1145,0
2.3514e+19,1,0.003112,0.003112,0.1145,0
2.3478e+19,1,0.003116,0.003116,0.1145,0
2.3442e+19,1,0.00312,0.00312,0.1145,0
2.3406e+19,1,0.003124,0.003124,0.1145,0
2.337e+19,1,0.003128,0.003128,0.1145,0
2.3334e+19,1,0.003132,0.003132,0.1145,0
2.3299e+19,1,0.003136,0.003136,0.1145,0
2.3264e+19,1,0.00314,0.00314,0.1145,0
2.3228e+19,1,0.003144,0.003144,0.1145,0
2.3193e+19,1,0.003148,0.003148,0.1145,0
2.3157e+19,1,0.003152,0.003152,0.1145,0
2.3122e+19,1,0.003156,0.003156,0.1145,0
2.3086e+19,1,0.00316,0.00316,0.1145,0
2.3051e+19,1,0.003164,0.003164,0.1145,0
2.3015e+19,1,0.003168,0.003168,0.1145,0
2.298e+19,1,0.003172,0.003172,0.1145,0
2.2944e+19,1,0.003176,0.003176,0.1145,0
2.2909e+19,1,0.00318,0.00318,0.1145,0
2.2873e+19,1,0.003184,0.003184,0.1145,0
2.2837e+19,1,0.003188,0.003188,0.1145,0
2.2802e+19,1,0.003192,0.003192,0.1145,0
2.2766e+19,1,0.003196,0.003196,0.1145,0
2.2731e+19,1,0.0032,0.0032,0.1145,0
2.2695e+19,1,0.003204,0.003204,0.1145,0
2.266e+19,1,0.003208,0.003208,0.1145,0
2.2624e+19,1,0.003212,0.003212,0.1145,0
2.2589e+19,1,0.003216,0.003216,0.1145,0
2.2553e+19,1,0.00322,0.00322,0.1145,0
2.2518e+19,1,0.003224,0.003224,0.1145,0
2.2482e+19,1,0.003228,0.003228,0.1145,0
2.2447e+19,1,0.003232,0.003232,0.1145,0
2.2411e+19,1,0.003236,0.003236,0.1145,0
2.2376e+19,1,0.00324,0.00324,0.1145,0
2.234e+19,1,0.003244,0.003244,0.1145,0
2.2305e+19,1,0.003248,0.003248,0.1145,0
2.2269e+19,1,0.003252,0.003252,0.1145,0
2.2234e+19,1,0.003256,0.003256,0.1145,0
2.2198e+19,1,0.00326,0.00326,0.1145,0
2.2163e+19,1,0.003264,0.003264,0.1145,0
2.2127e+19,1,0.003268,0.003268,0.1145,0
2.2092e+19,1,0.003272,0.003272,0.1145,0
2.2057e+19,1,0.003276,0.003276,0.1145,0
2.2022e+19,1,0.00328,0.00328,0.1145,0
2.1987e+19,1,0.003284,0.003284,0.1145,0
2.1951e+19,1,0.003288,0.003288,0.1145,0
2.1916e+19,1,0.003292,0.003292,0.1145,0
2.1881e+19,1,0.003296,0.003296,0.1145,0
2.1846e+19,1,0.0033,0.0033,0.1145,0
2.1811e+19,1,0.003304,0.003304,0.1145,0
2.1776e+19,1,0.003308,0.003308,0.1145,0
