"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2642e+22,1,0.000627,0.031627,0.1145,0
1.264e+22,1,0.0006325,0.031633,0.1145,0
1.2637e+22,1,0.000638,0.031638,0.1145,0
1.2634e+22,1,0.0006435,0.031643,0.1145,0
1.2631e+22,1,0.000649,0.031649,0.1145,0
1.2628e+22,1,0.0006545,0.031654,0.1145,0
1.2626e+22,1,0.00066,0.03166,0.1145,0
1.2623e+22,1,0.0006655,0.031666,0.1145,0
1.262e+22,1,0.000671,0.031671,0.1145,0
1.2617e+22,1,0.0006765,0.031677,0.1145,0
1.2615e+22,1,0.000682,0.031682,0.1145,0
1.2612e+22,1,0.0006875,0.031688,0.1145,0
1.2609e+22,1,0.000693,0.031693,0.1145,0
1.2606e+22,1,0.0006985,0.031698,0.1145,0
1.2603e+22,1,0.000704,0.031704,0.1145,0
1.2601e+22,1,0.0007095,0.031709,0.1145,0
1.2598e+22,1,0.000715,0.031715,0.1145,0
1.2595e+22,1,0.0007205,0.031721,0.1145,0
1.2592e+22,1,0.000726,0.031726,0.1145,0
1.2589e+22,1,0.0007315,0.031732,0.1145,0
1.2587e+22,1,0.000737,0.031737,0.1145,0
1.2584e+22,1,0.0007425,0.031742,0.1145,0
1.2581e+22,1,0.000748,0.031748,0.1145,0
1.2578e+22,1,0.0007535,0.031753,0.1145,0
1.2575e+22,1,0.000759,0.031759,0.1145,0
1.2573e+22,1,0.0007645,0.031764,0.1145,0
1.257e+22,1,0.00077,0.03177,0.1145,0
1.2567e+22,1,0.0007755,0.031776,0.1145,0
1.2564e+22,1,0.000781,0.031781,0.1145,0
1.2562e+22,1,0.0007865,0.031787,0.1145,0
1.2559e+22,1,0.000792,0.031792,0.1145,0
1.2556e+22,1,0.0007975,0.031797,0.1145,0
1.2553e+22,1,0.000803,0.031803,0.1145,0
1.255e+22,1,0.0008085,0.031808,0.1145,0
1.2548e+22,1,0.000814,0.031814,0.1145,0
1.2545e+22,1,0.0008195,0.03182,0.1145,0
1.2542e+22,1,0.000825,0.031825,0.1145,0
1.2539e+22,1,0.0008305,0.031831,0.1145,0
1.2536e+22,1,0.000836,0.031836,0.1145,0
1.2534e+22,1,0.0008415,0.031842,0.1145,0
1.2531e+22,1,0.000847,0.031847,0.1145,0
