"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2917e+22,1,0,0.031,0.1145,0
1.2915e+22,1,5.5004e-06,0.031005,0.1145,0
1.2914e+22,1,1.1001e-05,0.031011,0.1145,0
1.2912e+22,1,1.6501e-05,0.031017,0.1145,0
1.2911e+22,1,2.2e-05,0.031022,0.1145,0
1.2909e+22,1,2.75e-05,0.031027,0.1145,0
1.2908e+22,1,3.3e-05,0.031033,0.1145,0
1.2906e+22,1,3.8501e-05,0.031039,0.1145,0
1.2904e+22,1,4.4001e-05,0.031044,0.1145,0
1.2903e+22,1,4.95e-05,0.031049,0.1145,0
1.2901e+22,1,5.5e-05,0.031055,0.1145,0
1.29e+22,1,6.0501e-05,0.031061,0.1145,0
1.2898e+22,1,6.6001e-05,0.031066,0.1145,0
1.2897e+22,1,7.1501e-05,0.031072,0.1145,0
1.2895e+22,1,7.7e-05,0.031077,0.1145,0
1.2894e+22,1,8.25e-05,0.031082,0.1145,0
1.2892e+22,1,8.8001e-05,0.031088,0.1145,0
1.289e+22,1,9.3501e-05,0.031094,0.1145,0
1.2889e+22,1,9.9e-05,0.031099,0.1145,0
1.2887e+22,1,0.0001045,0.031104,0.1145,0
1.2886e+22,1,0.00011,0.03111,0.1145,0
1.2884e+22,1,0.0001155,0.031116,0.1145,0
1.2883e+22,1,0.000121,0.031121,0.1145,0
1.2881e+22,1,0.0001265,0.031126,0.1145,0
1.288e+22,1,0.000132,0.031132,0.1145,0
1.2878e+22,1,0.0001375,0.031137,0.1145,0
1.2876e+22,1,0.000143,0.031143,0.1145,0
1.2875e+22,1,0.0001485,0.031149,0.1145,0
1.2873e+22,1,0.000154,0.031154,0.1145,0
1.2872e+22,1,0.0001595,0.031159,0.1145,0
1.287e+22,1,0.000165,0.031165,0.1145,0
1.2869e+22,1,0.0001705,0.031171,0.1145,0
1.2867e+22,1,0.000176,0.031176,0.1145,0
1.2865e+22,1,0.0001815,0.031181,0.1145,0
1.2864e+22,1,0.000187,0.031187,0.1145,0
1.2862e+22,1,0.0001925,0.031193,0.1145,0
1.2861e+22,1,0.000198,0.031198,0.1145,0
1.2859e+22,1,0.0002035,0.031204,0.1145,0
1.2858e+22,1,0.000209,0.031209,0.1145,0
1.2856e+22,1,0.0002145,0.031214,0.1145,0
1.2855e+22,1,0.00022,0.03122,0.1145,0
1.2853e+22,1,0.0002255,0.031226,0.1145,0
1.2851e+22,1,0.000231,0.031231,0.1145,0
1.285e+22,1,0.0002365,0.031236,0.1145,0
1.2848e+22,1,0.000242,0.031242,0.1145,0
1.2847e+22,1,0.0002475,0.031248,0.1145,0
1.2845e+22,1,0.000253,0.031253,0.1145,0
1.2843e+22,1,0.0002585,0.031259,0.1145,0
1.284e+22,1,0.000264,0.031264,0.1145,0
1.2838e+22,1,0.0002695,0.031269,0.1145,0
1.2836e+22,1,0.000275,0.031275,0.1145,0
1.2834e+22,1,0.0002805,0.03128,0.1145,0
1.2831e+22,1,0.000286,0.031286,0.1145,0
1.2829e+22,1,0.0002915,0.031291,0.1145,0
1.2827e+22,1,0.000297,0.031297,0.1145,0
1.2825e+22,1,0.0003025,0.031303,0.1145,0
1.2822e+22,1,0.000308,0.031308,0.1145,0
1.282e+22,1,0.0003135,0.031314,0.1145,0
1.2818e+22,1,0.000319,0.031319,0.1145,0
1.2816e+22,1,0.0003245,0.031324,0.1145,0
1.2813e+22,1,0.00033,0.03133,0.1145,0
1.2811e+22,1,0.0003355,0.031335,0.1145,0
1.2809e+22,1,0.000341,0.031341,0.1145,0
1.2807e+22,1,0.0003465,0.031346,0.1145,0
1.2804e+22,1,0.000352,0.031352,0.1145,0
1.2802e+22,1,0.0003575,0.031358,0.1145,0
1.28e+22,1,0.000363,0.031363,0.1145,0
1.2798e+22,1,0.0003685,0.031369,0.1145,0
1.2795e+22,1,0.000374,0.031374,0.1145,0
1.2793e+22,1,0.0003795,0.031379,0.1145,0
1.2791e+22,1,0.000385,0.031385,0.1145,0
1.2789e+22,1,0.0003905,0.03139,0.1145,0
1.2786e+22,1,0.000396,0.031396,0.1145,0
1.2784e+22,1,0.0004015,0.031402,0.1145,0
1.2782e+22,1,0.000407,0.031407,0.1145,0
1.278e+22,1,0.0004125,0.031413,0.1145,0
1.2777e+22,1,0.000418,0.031418,0.1145,0
1.2775e+22,1,0.0004235,0.031424,0.1145,0
1.2773e+22,1,0.000429,0.031429,0.1145,0
1.277e+22,1,0.0004345,0.031434,0.1145,0
1.2768e+22,1,0.00044,0.03144,0.1145,0
1.2766e+22,1,0.0004455,0.031445,0.1145,0
1.2764e+22,1,0.000451,0.031451,0.1145,0
1.2761e+22,1,0.0004565,0.031457,0.1145,0
1.2759e+22,1,0.000462,0.031462,0.1145,0
1.2757e+22,1,0.0004675,0.031468,0.1145,0
1.2755e+22,1,0.000473,0.031473,0.1145,0
1.2752e+22,1,0.0004785,0.031479,0.1145,0
1.275e+22,1,0.000484,0.031484,0.1145,0
1.2748e+22,1,0.0004895,0.031489,0.1145,0
1.2746e+22,1,0.000495,0.031495,0.1145,0
1.2743e+22,1,0.0005005,0.0315,0.1145,0
1.2741e+22,1,0.000506,0.031506,0.1145,0
1.2739e+22,1,0.0005115,0.031512,0.1145,0
1.2737e+22,1,0.000517,0.031517,0.1145,0
1.2734e+22,1,0.0005225,0.031523,0.1145,0
1.2732e+22,1,0.000528,0.031528,0.1145,0
1.273e+22,1,0.0005335,0.031533,0.1145,0
1.2728e+22,1,0.000539,0.031539,0.1145,0
1.2726e+22,1,0.0005445,0.031544,0.1145,0
1.2723e+22,1,0.00055,0.03155,0.1145,0
1.2721e+22,1,0.0005555,0.031555,0.1145,0
1.2719e+22,1,0.000561,0.031561,0.1145,0
1.2717e+22,1,0.0005665,0.031567,0.1145,0
1.2715e+22,1,0.000572,0.031572,0.1145,0
1.2712e+22,1,0.0005775,0.031578,0.1145,0
1.271e+22,1,0.000583,0.031583,0.1145,0
1.2708e+22,1,0.0005885,0.031588,0.1145,0
1.2706e+22,1,0.000594,0.031594,0.1145,0
1.2704e+22,1,0.0005995,0.031599,0.1145,0
1.2701e+22,1,0.000605,0.031605,0.1145,0
1.2698e+22,1,0.0006105,0.031611,0.1145,0
1.2695e+22,1,0.000616,0.031616,0.1145,0
1.2692e+22,1,0.0006215,0.031622,0.1145,0
1.2689e+22,1,0.000627,0.031627,0.1145,0
1.2686e+22,1,0.0006325,0.031633,0.1145,0
1.2683e+22,1,0.000638,0.031638,0.1145,0
1.268e+22,1,0.0006435,0.031643,0.1145,0
1.2677e+22,1,0.000649,0.031649,0.1145,0
1.2674e+22,1,0.0006545,0.031654,0.1145,0
1.2671e+22,1,0.00066,0.03166,0.1145,0
1.2668e+22,1,0.0006655,0.031666,0.1145,0
1.2665e+22,1,0.000671,0.031671,0.1145,0
1.2662e+22,1,0.0006765,0.031677,0.1145,0
1.2659e+22,1,0.000682,0.031682,0.1145,0
1.2656e+22,1,0.0006875,0.031688,0.1145,0
1.2653e+22,1,0.000693,0.031693,0.1145,0
1.265e+22,1,0.0006985,0.031698,0.1145,0
1.2647e+22,1,0.000704,0.031704,0.1145,0
1.2644e+22,1,0.0007095,0.031709,0.1145,0
1.2641e+22,1,0.000715,0.031715,0.1145,0
1.2638e+22,1,0.0007205,0.031721,0.1145,0
1.2635e+22,1,0.000726,0.031726,0.1145,0
1.2632e+22,1,0.0007315,0.031732,0.1145,0
1.2629e+22,1,0.000737,0.031737,0.1145,0
1.2626e+22,1,0.0007425,0.031742,0.1145,0
1.2623e+22,1,0.000748,0.031748,0.1145,0
1.262e+22,1,0.0007535,0.031753,0.1145,0
1.2617e+22,1,0.000759,0.031759,0.1145,0
1.2614e+22,1,0.0007645,0.031764,0.1145,0
1.2611e+22,1,0.00077,0.03177,0.1145,0
1.2608e+22,1,0.0007755,0.031776,0.1145,0
1.2605e+22,1,0.000781,0.031781,0.1145,0
1.2602e+22,1,0.0007865,0.031787,0.1145,0
1.2599e+22,1,0.000792,0.031792,0.1145,0
1.2596e+22,1,0.0007975,0.031797,0.1145,0
1.2593e+22,1,0.000803,0.031803,0.1145,0
1.259e+22,1,0.0008085,0.031808,0.1145,0
1.2587e+22,1,0.000814,0.031814,0.1145,0
1.2585e+22,1,0.0008195,0.03182,0.1145,0
1.2582e+22,1,0.000825,0.031825,0.1145,0
1.2579e+22,1,0.0008305,0.031831,0.1145,0
1.2576e+22,1,0.000836,0.031836,0.1145,0
1.2573e+22,1,0.0008415,0.031842,0.1145,0
1.257e+22,1,0.000847,0.031847,0.1145,0
1.2567e+22,1,0.0008525,0.031852,0.1145,0
1.2564e+22,1,0.000858,0.031858,0.1145,0
1.2561e+22,1,0.0008635,0.031863,0.1145,0
1.2558e+22,1,0.000869,0.031869,0.1145,0
1.2555e+22,1,0.0008745,0.031875,0.1145,0
1.2552e+22,1,0.00088,0.03188,0.1145,0
1.2549e+22,1,0.0008855,0.031886,0.1145,0
1.2546e+22,1,0.000891,0.031891,0.1145,0
1.2543e+22,1,0.0008965,0.031897,0.1145,0
1.254e+22,1,0.000902,0.031902,0.1145,0
1.2537e+22,1,0.0009075,0.031907,0.1145,0
1.2534e+22,1,0.000913,0.031913,0.1145,0
1.253e+22,1,0.0009185,0.031918,0.1145,0
1.2526e+22,1,0.000924,0.031924,0.1145,0
1.2523e+22,1,0.0009295,0.03193,0.1145,0
1.2519e+22,1,0.000935,0.031935,0.1145,0
1.2515e+22,1,0.0009405,0.031941,0.1145,0
1.2511e+22,1,0.000946,0.031946,0.1145,0
1.2508e+22,1,0.0009515,0.031951,0.1145,0
1.2504e+22,1,0.000957,0.031957,0.1145,0
1.25e+22,1,0.0009625,0.031962,0.1145,0
1.2496e+22,1,0.000968,0.031968,0.1145,0
1.2493e+22,1,0.0009735,0.031973,0.1145,0
1.2489e+22,1,0.000979,0.031979,0.1145,0
1.2485e+22,1,0.0009845,0.031985,0.1145,0
