"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8734e+21,1,0.001528,0.001528,0.066032,0
1.8582e+21,1,0.001532,0.001532,0.066032,0
1.8429e+21,1,0.001536,0.001536,0.066032,0
1.8277e+21,1,0.00154,0.00154,0.066032,0
1.8125e+21,1,0.001544,0.001544,0.066032,0
1.7973e+21,1,0.001548,0.001548,0.066032,0
1.782e+21,1,0.001552,0.001552,0.066032,0
1.7668e+21,1,0.001556,0.001556,0.066032,0
1.7516e+21,1,0.00156,0.00156,0.066032,0
1.7364e+21,1,0.001564,0.001564,0.066032,0
1.7212e+21,1,0.001568,0.001568,0.066032,0
1.706e+21,1,0.001572,0.001572,0.066032,0
1.6908e+21,1,0.001576,0.001576,0.066032,0
1.6756e+21,1,0.00158,0.00158,0.066032,0
1.6604e+21,1,0.001584,0.001584,0.066032,0
1.6452e+21,1,0.001588,0.001588,0.066032,0
1.6299e+21,1,0.001592,0.001592,0.066032,0
1.6147e+21,1,0.001596,0.001596,0.066032,0
1.5995e+21,1,0.0016,0.0016,0.066032,0
1.5843e+21,1,0.001604,0.001604,0.066032,0
1.5691e+21,1,0.001608,0.001608,0.066032,0
1.5538e+21,1,0.001612,0.001612,0.066032,0
1.5384e+21,1,0.001616,0.001616,0.066032,0
1.523e+21,1,0.00162,0.00162,0.066032,0
1.5075e+21,1,0.001624,0.001624,0.066032,0
1.4921e+21,1,0.001628,0.001628,0.066032,0
1.4767e+21,1,0.001632,0.001632,0.066032,0
1.4613e+21,1,0.001636,0.001636,0.066032,0
1.4459e+21,1,0.00164,0.00164,0.066032,0
1.4305e+21,1,0.001644,0.001644,0.066032,0
1.4151e+21,1,0.001648,0.001648,0.066032,0
1.3997e+21,1,0.001652,0.001652,0.066032,0
1.3842e+21,1,0.001656,0.001656,0.066032,0
1.3688e+21,1,0.00166,0.00166,0.066032,0
1.3534e+21,1,0.001664,0.001664,0.066032,0
1.338e+21,1,0.001668,0.001668,0.066032,0
1.3226e+21,1,0.001672,0.001672,0.066032,0
1.3072e+21,1,0.001676,0.001676,0.066032,0
1.2918e+21,1,0.00168,0.00168,0.066032,0
1.2764e+21,1,0.001684,0.001684,0.066032,0
1.261e+21,1,0.001688,0.001688,0.066032,0
1.2456e+21,1,0.001692,0.001692,0.066032,0
1.2302e+21,1,0.001696,0.001696,0.066032,0
1.2149e+21,1,0.0017,0.0017,0.066032,0
1.1995e+21,1,0.001704,0.001704,0.066032,0
1.1841e+21,1,0.001708,0.001708,0.066032,0
