"solute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0719e+20,1,0.00046,0.00046,0.066032,0
3.0642e+20,1,0.000464,0.000464,0.066032,0
3.0564e+20,1,0.000468,0.000468,0.066032,0
3.0486e+20,1,0.000472,0.000472,0.066032,0
3.0409e+20,1,0.000476,0.000476,0.066032,0
3.0331e+20,1,0.00048,0.00048,0.066032,0
3.0254e+20,1,0.000484,0.000484,0.066032,0
3.0176e+20,1,0.000488,0.000488,0.066032,0
3.0098e+20,1,0.000492,0.000492,0.066032,0
3.0021e+20,1,0.000496,0.000496,0.066032,0
2.9943e+20,1,0.0005,0.0005,0.066032,0
2.9866e+20,1,0.000504,0.000504,0.066032,0
2.9788e+20,1,0.000508,0.000508,0.066032,0
2.9714e+20,1,0.000512,0.000512,0.066032,0
2.9637e+20,1,0.000516,0.000516,0.066032,0
2.9559e+20,1,0.00052,0.00052,0.066032,0
2.9482e+20,1,0.000524,0.000524,0.066032,0
2.9404e+20,1,0.000528,0.000528,0.066032,0
2.9326e+20,1,0.000532,0.000532,0.066032,0
2.9248e+20,1,0.000536,0.000536,0.066032,0
2.9171e+20,1,0.00054,0.00054,0.066032,0
2.9089e+20,1,0.000544,0.000544,0.066032,0
2.9011e+20,1,0.000548,0.000548,0.066032,0
2.8934e+20,1,0.000552,0.000552,0.066032,0
2.8856e+20,1,0.000556,0.000556,0.066032,0
2.8778e+20,1,0.00056,0.00056,0.066032,0
2.8701e+20,1,0.000564,0.000564,0.066032,0
2.8623e+20,1,0.000568,0.000568,0.066032,0
2.8545e+20,1,0.000572,0.000572,0.066032,0
2.8468e+20,1,0.000576,0.000576,0.066032,0
2.839e+20,1,0.00058,0.00058,0.066032,0
2.8312e+20,1,0.000584,0.000584,0.066032,0
2.8235e+20,1,0.000588,0.000588,0.066032,0
2.8157e+20,1,0.000592,0.000592,0.066032,0
2.8079e+20,1,0.000596,0.000596,0.066032,0
2.8002e+20,1,0.0006,0.0006,0.066032,0
2.7924e+20,1,0.000604,0.000604,0.066032,0
2.7846e+20,1,0.000608,0.000608,0.066032,0
2.7769e+20,1,0.000612,0.000612,0.066032,0
2.7691e+20,1,0.000616,0.000616,0.066032,0
2.7613e+20,1,0.00062,0.00062,0.066032,0
2.7536e+20,1,0.000624,0.000624,0.066032,0
2.7458e+20,1,0.000628,0.000628,0.066032,0
2.7381e+20,1,0.000632,0.000632,0.066032,0
2.7303e+20,1,0.000636,0.000636,0.066032,0
2.7225e+20,1,0.00064,0.00064,0.066032,0
2.7148e+20,1,0.000644,0.000644,0.066032,0
2.707e+20,1,0.000648,0.000648,0.066032,0
