"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9339e+13,1,0.001972,0.001972,0.1145,0
1.6678e+13,1,0.001976,0.001976,0.1145,0
1.4018e+13,1,0.00198,0.00198,0.1145,0
1.1357e+13,1,0.001984,0.001984,0.1145,0
8.6964e+12,1,0.001988,0.001988,0.1145,0
6.0358e+12,1,0.001992,0.001992,0.1145,0
3.3752e+12,1,0.001996,0.001996,0.1145,0
7.1459e+11,1,0.002,0.002,0.1145,0
4.0341e+14,1,0.002004,0.002004,0.1145,0
4.0348e+14,1,0.002008,0.002008,0.1145,0
4.0355e+14,1,0.002012,0.002012,0.1145,0
4.0363e+14,1,0.002016,0.002016,0.1145,0
4.037e+14,1,0.00202,0.00202,0.1145,0
4.0377e+14,1,0.002024,0.002024,0.1145,0
4.0384e+14,1,0.002028,0.002028,0.1145,0
4.0391e+14,1,0.002032,0.002032,0.1145,0
4.0399e+14,1,0.002036,0.002036,0.1145,0
4.0406e+14,1,0.00204,0.00204,0.1145,0
4.0413e+14,1,0.002044,0.002044,0.1145,0
4.042e+14,1,0.002048,0.002048,0.1145,0
4.0427e+14,1,0.002052,0.002052,0.1145,0
4.0439e+14,1,0.002056,0.002056,0.1145,0
4.045e+14,1,0.00206,0.00206,0.1145,0
4.0461e+14,1,0.002064,0.002064,0.1145,0
4.0473e+14,1,0.002068,0.002068,0.1145,0
4.0484e+14,1,0.002072,0.002072,0.1145,0
4.0495e+14,1,0.002076,0.002076,0.1145,0
4.0506e+14,1,0.00208,0.00208,0.1145,0
4.0518e+14,1,0.002084,0.002084,0.1145,0
4.0529e+14,1,0.002088,0.002088,0.1145,0
4.054e+14,1,0.002092,0.002092,0.1145,0
4.0552e+14,1,0.002096,0.002096,0.1145,0
4.0563e+14,1,0.0021,0.0021,0.1145,0
4.0574e+14,1,0.002104,0.002104,0.1145,0
4.0585e+14,1,0.002108,0.002108,0.1145,0
4.0597e+14,1,0.002112,0.002112,0.1145,0
4.0608e+14,1,0.002116,0.002116,0.1145,0
4.0619e+14,1,0.00212,0.00212,0.1145,0
4.063e+14,1,0.002124,0.002124,0.1145,0
4.0642e+14,1,0.002128,0.002128,0.1145,0
4.0658e+14,1,0.002132,0.002132,0.1145,0
4.0669e+14,1,0.002136,0.002136,0.1145,0
4.068e+14,1,0.00214,0.00214,0.1145,0
4.0691e+14,1,0.002144,0.002144,0.1145,0
4.0701e+14,1,0.002148,0.002148,0.1145,0
4.0712e+14,1,0.002152,0.002152,0.1145,0
4.0723e+14,1,0.002156,0.002156,0.1145,0
4.0734e+14,1,0.00216,0.00216,0.1145,0
4.0744e+14,1,0.002164,0.002164,0.1145,0
4.0755e+14,1,0.002168,0.002168,0.1145,0
4.0766e+14,1,0.002172,0.002172,0.1145,0
